,waktu,windspeed,winddir,temp,rh,pressure,rain,solrad,status
0,01/01/2018 00.00,0,0,26,84.7,1007.1,40,57.4,Good
1,01/01/2018 00.10,0,0,26.1,83.6,1007,0,74.3,Good
2,01/01/2018 00.20,0,0,26.5,82.03333333,1007.1,0,82,Good
3,01/01/2018 00.30,0,0,26.9,80.46666667,1007.2,0,89.7,Suspect
4,01/01/2018 00.40,0,0,27.3,78.9,1007.3,0,97.4,Good
5,01/01/2018 00.50,0,0,27.9,76.8,1007.3,0,162.2,Suspect
6,01/01/2018 01.00,0,0,28.5,74.8,1007.4,0,362.6,Good
7,01/01/2018 01.10,0,0,28.8,72.8,1007.4,0,402.5,Suspect
8,01/01/2018 01.20,0.4,159.5,29,71.45,1007.35,0,435.3,Suspect
9,01/01/2018 01.30,0.8,319,29.2,70.1,1007.3,0,468.1,Good
10,01/01/2018 01.40,0,350.3,29.8,68.4,1007.4,0,484,Good
11,01/01/2018 01.50,0,358.3,30.4,66.2,1007.6,0,471.2,Good
12,01/01/2018 02.00,0.1,0.2,30.1,64.9,1007.3,0,510.9,Good
13,01/01/2018 02.10,0,0,30.4,63.8,1007.4,0,553.7,Good
14,01/01/2018 02.20,0.6,318.2,30.6,62.6,1007.3,0,578,Suspect
15,01/01/2018 02.30,0.4,351.7,31,62.4,1007.4,0,579.1,Suspect
16,01/01/2018 02.40,0.2,338.1,31.3,60.8,1007.4,0,591.9,Suspect
17,01/01/2018 02.50,0.1,169.05,31.35,60.75,1007.25,0,528.55,Good
18,01/01/2018 03.00,0,0,31.4,60.7,1007.1,0,465.2,Good
19,01/01/2018 03.10,0,0,31.2,60.1,1007,0,312,Good
20,01/01/2018 03.20,0,0,31.6,58.4,1006.95,0,523.25,Suspect
21,01/01/2018 03.30,0,0,32,56.7,1006.9,0,734.5,Good
22,01/01/2018 03.40,1.2,283.4,32,56.5,1006.8,0,721.6,Suspect
23,01/01/2018 03.50,0.2,345.1,32.2,52.9,1006.5,0,728.7,Suspect
24,01/01/2018 04.00,0.133333333,230.0666667,32.43333333,52.9,1006.533333,0,689.1333333,Good
25,01/01/2018 04.10,0.066666667,115.0333333,32.66666667,52.9,1006.566667,0,649.5666667,Good
26,01/01/2018 04.20,0,0,32.9,52.9,1006.6,0,610,Suspect
27,01/01/2018 04.30,0,0,32.3,62.7,1006.5,0,301.3,Good
28,01/01/2018 04.40,0,0,31.2,68.2,1006.3,0,192,Good
29,01/01/2018 04.50,0,0,31.3,68.9,1006.2,0,198.8,Good
30,01/01/2018 05.00,0,0,31.53333333,67.5,1006.033333,0,308.3333333,Good
31,01/01/2018 05.10,0,0,31.76666667,66.1,1005.866667,0,417.8666667,Good
32,01/01/2018 05.20,0,0,32,64.7,1005.7,0,527.4,Good
33,01/01/2018 05.30,0,0,30.9,69.3,1005.7,0,208.8,Suspect
34,01/01/2018 05.40,0,0,31,69.3,1005.525,0,360.4,Suspect
35,01/01/2018 05.50,0,0,31.1,69.3,1005.35,0,512,Suspect
36,01/01/2018 06.00,0,0,31.2,69.3,1005.175,0,663.6,Good
37,01/01/2018 06.10,0,0,31.3,69.3,1005,0,815.2,Good
38,01/01/2018 06.20,0,0,31.6,69.4,1004.8,0,766.7,Suspect
39,01/01/2018 06.30,0,0,31.6,68.6,1004.7,0,715.1,Suspect
40,01/01/2018 06.40,0,0,31.4,69.5,1004.6,0,364.3,Suspect
41,01/01/2018 06.50,0,0,31.15,70.5,1004.35,0,288.7,Good
42,01/01/2018 07.00,0,0,30.9,71.5,1004.1,0,213.1,Suspect
43,01/01/2018 07.10,0,0,31.23333333,70.6,1003.833333,0,310.3333333,Good
44,01/01/2018 07.20,0,0,31.56666667,69.7,1003.566667,0,407.5666667,Suspect
45,01/01/2018 07.30,0,0,31.9,68.8,1003.3,0,504.8,Good
46,01/01/2018 07.40,0,0,33.1,61.8,1003.2,0,366.3,Good
47,01/01/2018 07.50,0,0,33.4,57.9,1003,0,497.7,Good
