waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
01/01/18 00.00,0.0,0.0,26.0,84.7,1007.1,40.0,57.4
01/01/18 00.10,0.0,0.0,26.1,83.6,1007.0,0.0,74.3
01/01/18 00.20,,,,,,,
01/01/18 00.30,,,,,,,
01/01/18 00.40,0.0,0.0,27.3,78.9,1007.3,0.0,97.4
01/01/18 00.50,0.0,0.0,27.9,76.8,1007.3,0.0,162.2
01/01/18 01.00,0.0,0.0,28.5,74.8,1007.4,0.0,362.6
01/01/18 01.10,0.0,0.0,28.8,72.8,1007.4,0.0,402.5
01/01/18 01.20,,,,,,,
01/01/18 01.30,0.8,319.0,29.2,70.1,1007.3,0.0,468.1
01/01/18 01.40,0.0,350.3,29.8,68.4,1007.4,0.0,484.0
01/01/18 01.50,0.0,358.3,30.4,66.2,1007.6,0.0,471.2
01/01/18 02.00,0.1,0.2,30.1,64.9,1007.3,0.0,510.9
01/01/18 02.10,0.0,0.0,30.4,63.8,1007.4,0.0,553.7
01/01/18 02.20,0.6,318.2,30.6,62.6,1007.3,0.0,578.0
01/01/18 02.30,0.4,351.7,31.0,62.4,1007.4,0.0,579.1
01/01/18 02.40,0.2,338.1,31.3,60.8,1007.4,0.0,591.9
01/01/18 02.50,,,,,,,
01/01/18 03.00,0.0,0.0,31.4,60.7,1007.1,0.0,465.2
01/01/18 03.10,0.0,0.0,31.2,60.1,1007.0,0.0,312.0
01/01/18 03.20,,,,,,,
01/01/18 03.30,0.0,0.0,32.0,56.7,1006.9,0.0,734.5
01/01/18 03.40,1.2,283.4,32.0,56.5,1006.8,0.0,721.6
01/01/18 03.50,0.2,345.1,32.2,52.9,1006.5,0.0,728.7
01/01/18 04.00,,,,,,,
01/01/18 04.10,,,,,,,
01/01/18 04.20,0.0,0.0,32.9,52.9,1006.6,0.0,610.0
01/01/18 04.30,0.0,0.0,32.3,62.7,1006.5,0.0,301.3
01/01/18 04.40,0.0,0.0,31.2,68.2,1006.3,0.0,192.0
01/01/18 04.50,0.0,0.0,31.3,68.9,1006.2,0.0,198.8
01/01/18 05.00,,,,,,,
01/01/18 05.10,,,,,,,
01/01/18 05.20,0.0,0.0,32.0,64.7,1005.7,0.0,527.4
01/01/18 05.30,0.0,0.0,30.9,69.3,1005.7,0.0,208.8
01/01/18 05.40,,,,,,,
01/01/18 05.50,,,,,,,
01/01/18 06.00,,,,,,,
01/01/18 06.10,0.0,0.0,31.3,69.3,1005.0,0.0,815.2
01/01/18 06.20,0.0,0.0,31.6,69.4,1004.8,0.0,766.7
01/01/18 06.30,0.0,0.0,31.6,68.6,1004.7,0.0,715.1
01/01/18 06.40,0.0,0.0,31.4,69.5,1004.6,0.0,364.3
01/01/18 06.50,,,,,,,
01/01/18 07.00,0.0,0.0,30.9,71.5,1004.1,0.0,213.1
01/01/18 07.10,,,,,,,
01/01/18 07.20,,,,,,,
01/01/18 07.30,0.0,0.0,31.9,68.8,1003.3,0.0,504.8
01/01/18 07.40,0.0,0.0,33.1,61.8,1003.2,0.0,366.3
01/01/18 07.50,0.0,0.0,33.4,57.9,1003.0,0.0,497.7
01/01/18 08.00,0.0,0.0,33.9,53.3,1002.8,0.0,449.8
01/01/18 08.10,0.0,0.0,34.4,48.8,1002.7,0.0,529.3
01/01/18 08.20,0.0,0.0,34.7,48.4,1002.6,0.0,490.4
01/01/18 08.30,0.0,0.0,34.5,47.7,1002.4,0.0,431.8
01/01/18 08.40,0.0,0.0,33.8,51.6,1002.5,0.0,235.9
01/01/18 08.50,0.0,0.0,33.8,51.8,1002.5,0.0,334.6
01/01/18 09.00,,,,,,,
01/01/18 09.10,,,,,,,
01/01/18 09.20,0.0,0.0,33.5,52.7,1002.6,0.0,281.3
01/01/18 09.30,,,,,,,
01/01/18 09.40,0.0,353.1,33.3,54.0,1002.7,0.0,257.3
01/01/18 09.50,,,,,,,
01/01/18 10.00,0.0,0.0,32.6,56.4,1003.0,0.0,142.6
01/01/18 10.10,,,,,,,
01/01/18 10.20,,,,,,,
01/01/18 10.30,,,,,,,
01/01/18 10.40,0.0,0.0,31.3,61.5,1003.6,0.0,39.9
01/01/18 10.50,0.0,0.0,30.9,63.6,1003.5,0.0,20.5
01/01/18 11.00,0.0,0.0,30.6,64.3,1003.8,0.0,10.4
01/01/18 11.10,,,,,,,
01/01/18 11.20,,,,,,,
01/01/18 11.30,,,,,,,
01/01/18 11.40,1.7,260.9,29.8,66.4,1004.6,0.0,1.3
01/01/18 11.50,1.9,269.4,29.7,66.5,1004.9,0.0,2.0
01/01/18 12.00,,,,,,,
01/01/18 12.10,0.0,345.2,29.6,66.7,1004.9,0.0,1.6
01/01/18 12.20,,,,,,,
01/01/18 12.30,,,,,,,
01/01/18 12.40,0.0,0.0,29.4,67.6,1005.6,0.0,1.6
01/01/18 12.50,0.0,0.0,29.4,67.3,1005.8,0.0,1.1
01/01/18 13.00,,,,,,,
01/01/18 13.10,0.0,0.0,29.2,67.1,1006.2,0.0,1.6
01/01/18 13.20,0.0,0.0,29.2,66.4,1006.3,0.0,1.7
01/01/18 13.30,0.0,0.0,29.1,65.6,1006.4,0.0,1.2
01/01/18 13.40,0.3,310.2,29.1,65.3,1006.4,0.0,1.9
01/01/18 13.50,0.5,341.5,29.0,65.8,1006.5,0.0,0.4
01/01/18 14.00,0.0,0.0,28.9,66.5,1006.7,0.0,0.5
01/01/18 14.10,0.1,350.2,28.9,66.4,1006.6,0.0,1.4
01/01/18 14.20,0.3,341.4,28.8,66.9,1006.7,0.0,1.4
01/01/18 14.30,,,,,,,
01/01/18 14.40,1.2,318.9,28.7,65.7,1007.1,0.0,1.9
01/01/18 14.50,,,,,,,
01/01/18 15.00,1.6,263.5,28.5,67.0,1006.8,0.0,1.0
01/01/18 15.10,1.5,296.7,28.4,67.4,1007.0,0.0,1.1
01/01/18 15.20,,,,,,,
01/01/18 15.30,0.7,316.2,28.3,68.2,1007.2,0.0,1.1
01/01/18 15.40,1.8,278.1,28.3,68.2,1007.1,0.0,1.5
01/01/18 15.50,,,,,,,
01/01/18 16.00,1.7,275.7,28.2,69.4,1007.3,0.0,1.7
01/01/18 16.10,,,,,,,
01/01/18 16.20,2.2,261.6,28.0,70.2,1006.8,0.0,0.5
01/01/18 16.30,,,,,,,
01/01/18 16.40,1.0,292.6,28.0,69.4,1006.8,0.0,0.7
01/01/18 16.50,1.4,268.0,28.0,68.7,1006.8,0.0,1.4
01/01/18 17.00,1.5,263.3,28.1,68.8,1006.7,0.0,2.3
01/01/18 17.10,,,,,,,
01/01/18 17.20,1.4,312.1,28.0,70.8,1006.4,0.0,1.7
01/01/18 17.30,1.5,288.9,27.8,71.9,1006.4,0.0,1.6
01/01/18 17.40,,,,,,,
01/01/18 17.50,1.3,299.2,27.7,73.0,1006.1,0.0,1.5
01/01/18 18.00,1.4,305.5,27.7,74.0,1006.2,0.0,1.2
01/01/18 18.10,,,,,,,
01/01/18 18.20,,,,,,,
01/01/18 18.30,0.9,312.6,27.5,75.9,1005.8,0.0,1.0
01/01/18 18.40,0.8,339.3,27.4,76.5,1005.6,0.0,1.0
01/01/18 18.50,0.0,348.4,27.4,76.5,1005.4,0.0,0.5
01/01/18 19.00,0.0,0.0,27.4,76.7,1005.3,0.0,0.9
01/01/18 19.10,0.0,0.0,27.4,75.9,1005.4,0.0,1.7
01/01/18 19.20,0.0,0.0,27.5,75.9,1005.5,0.0,2.1
01/01/18 19.30,,,,,,,
01/01/18 19.40,,,,,,,
01/01/18 19.50,0.0,0.0,27.4,76.6,1005.4,0.0,1.8
01/01/18 20.00,0.1,335.0,27.4,76.3,1005.3,0.0,2.0
01/01/18 20.10,0.0,0.0,27.3,76.6,1005.4,0.0,1.3
01/01/18 20.20,0.0,0.0,27.3,76.8,1005.4,0.0,0.9
01/01/18 20.30,,,,,,,
01/01/18 20.40,,,,,,,
01/01/18 20.50,0.0,0.0,27.1,76.7,1005.4,0.0,0.8
01/01/18 21.00,0.0,346.1,27.1,76.2,1005.6,0.0,0.8
01/01/18 21.10,0.0,0.0,27.1,75.3,1005.5,0.0,1.6
01/01/18 21.20,0.0,0.0,27.0,75.5,1005.5,0.0,1.9
01/01/18 21.30,,,,,,,
01/01/18 21.40,,,,,,,
01/01/18 21.50,0.0,0.0,26.9,75.9,1005.6,0.0,0.2
01/01/18 22.00,0.0,0.0,26.9,75.6,1005.8,0.0,2.5
01/01/18 22.10,0.0,0.0,26.8,76.5,1005.8,0.0,1.4
01/01/18 22.20,0.0,0.0,26.9,76.2,1005.9,0.0,1.7
01/01/18 22.30,,,,,,,
01/01/18 22.40,,,,,,,
01/01/18 22.50,0.0,0.0,26.8,75.8,1006.2,0.0,2.1
