waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
01/01/19 00.00,1.2,290.6,23.8,89.2,1012.2,0.2,9.5
01/01/19 00.10,1.5,334.7,23.6,90.1,1012.3,0.4,11.6
01/01/19 00.20,1.7,298.3,23.5,90.9,1012.2,0.8,16.4
01/01/19 00.30,2.1,315.5,23.4,90.6,1012.1,0.8,18.9
01/01/19 00.40,2.3,289.5,23.5,89.8,1012.2,0.8,28.9
01/01/19 00.50,1.4,249.8,23.7,89.5,1012.0,0.8,31.2
01/01/19 01.00,2.2,274.0,23.8,89.4,1012.0,1.0,32.9
01/01/19 01.10,1.9,303.0,23.8,89.3,1012.0,1.0,39.4
01/01/19 01.20,1.7,243.5,23.8,89.4,1011.8,1.2,44.1
01/01/19 01.30,2.4,228.1,23.9,89.5,1011.8,1.2,58.7
01/01/19 01.40,1.2,321.0,24.0,90.1,1012.0,1.2,62.8
01/01/19 01.50,2.0,239.7,24.1,90.0,1012.0,1.2,83.8
01/01/19 02.00,2.1,255.2,24.2,89.5,1011.8,1.2,100.6
01/01/19 02.10,1.8,265.2,24.3,88.6,1011.8,1.2,103.9
01/01/19 02.20,2.0,265.7,24.4,87.8,1011.8,1.2,98.4
01/01/19 02.30,1.3,277.2,24.6,87.8,1011.7,1.2,96.2
01/01/19 02.40,1.8,260.9,24.6,86.8,1011.5,1.2,93.0
01/01/19 02.50,1.7,291.6,24.7,86.9,1011.6,1.2,93.1
01/01/19 03.00,2.5,233.1,24.7,86.5,1011.7,1.2,100.6
01/01/19 03.10,2.1,240.4,24.9,85.6,1011.6,1.2,94.4
01/01/19 03.20,2.3,237.5,24.9,84.7,1011.7,1.2,89.9
01/01/19 03.30,1.9,246.3,25.0,84.6,1011.9,1.2,91.6
01/01/19 03.40,1.3,237.5,25.2,84.6,1011.9,1.2,96.3
01/01/19 03.50,1.0,289.2,25.4,84.5,1012.0,1.2,110.9
01/01/19 04.00,0.9,305.3,25.7,83.7,1011.9,1.2,132.8
01/01/19 04.10,0.4,272.0,26.2,80.9,1012.1,1.2,180.8
01/01/19 04.20,0.4,328.4,26.4,80.8,1011.9,1.2,194.6
01/01/19 04.30,0.5,285.8,26.8,79.6,1011.4,1.2,208.7
01/01/19 04.40,1.1,284.6,26.9,78.4,1011.4,1.2,203.8
01/01/19 04.50,1.3,304.5,26.9,78.3,1011.2,1.2,194.8
01/01/19 05.00,1.5,256.4,27.1,77.7,1011.0,1.2,191.2
01/01/19 05.10,1.1,318.3,27.3,77.1,1010.7,1.2,199.4
01/01/19 05.20,1.2,295.8,27.5,76.0,1010.5,1.2,233.5
01/01/19 05.30,1.4,266.7,27.8,75.2,1010.5,1.2,274.3
01/01/19 05.40,1.0,308.0,28.2,73.5,1010.3,1.2,281.4
01/01/19 05.50,,,,,,,
01/01/19 06.00,1.2,307.5,28.6,71.0,1010.1,1.2,313.3
01/01/19 06.10,2.2,268.1,28.7,70.0,1010.0,1.2,264.9
01/01/19 06.20,1.1,324.3,29.0,68.9,1009.8,1.2,264.0
01/01/19 06.30,1.4,302.6,29.1,68.2,1009.6,1.2,190.9
01/01/19 06.40,0.9,288.1,29.1,67.7,1009.3,1.2,265.1
01/01/19 06.50,,,,,,,
01/01/19 07.00,1.4,276.4,29.2,67.3,1009.0,1.2,268.3
01/01/19 07.10,1.9,257.2,29.4,65.8,1008.8,1.4,344.5
01/01/19 07.20,1.3,287.5,29.8,65.1,1008.6,1.4,385.4
01/01/19 07.30,2.4,268.4,29.9,64.1,1008.6,1.4,274.4
01/01/19 07.40,1.9,305.7,30.1,62.2,1008.4,1.4,329.4
01/01/19 07.50,1.6,302.9,30.3,61.0,1008.4,1.4,320.2
01/01/19 08.00,2.3,256.3,30.1,59.9,1008.4,1.4,300.6
01/01/19 08.10,1.8,285.1,30.0,60.8,1008.6,1.4,196.8
01/01/19 08.20,1.9,298.3,30.1,61.4,1008.4,1.4,304.6
01/01/19 08.30,1.8,304.1,30.4,61.0,1008.4,1.4,299.6
