waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
6/1/2019 0.00.00,,,,,,,
6/1/2019 0.10.00,,,,,,,
6/1/2019 0.20.00,,,,,,,
6/1/2019 0.30.00,,,,,,,
6/1/2019 0.40.00,,,,,,,
6/1/2019 0.50.00,,,,,,,
6/1/2019 1.00.00,,,,,,,
6/1/2019 1.10.00,,,,,,,
6/1/2019 1.20.00,,,,,,,
6/1/2019 1.30.00,,,,,,,
6/1/2019 1.40.00,,,,,,,
6/1/2019 1.50.00,,,,,,,
6/1/2019 2.00.00,,,,,,,
6/1/2019 2.10.00,,,,,,,
6/1/2019 2.20.00,,,,,,,
6/1/2019 2.30.00,,,,,,,
6/1/2019 2.40.00,,,,,,,
6/1/2019 2.50.00,,,,,,,
6/1/2019 3.00.00,,,,,,,
6/1/2019 3.10.00,,,,,,,
6/1/2019 3.20.00,,,,,,,
6/1/2019 3.30.00,,,,,,,
6/1/2019 3.40.00,,,,,,,
6/1/2019 3.50.00,,,,,,,
6/1/2019 4.00.00,,,,,,,
6/1/2019 4.10.00,,,,,,,
6/1/2019 4.20.00,,,,,,,
6/1/2019 4.30.00,,,,,,,
6/1/2019 4.40.00,,,,,,,
6/1/2019 4.50.00,,,,,,,
6/1/2019 5.00.00,,,,,,,
6/1/2019 5.10.00,,,,,,,
6/1/2019 5.20.00,,,,,,,
6/1/2019 5.30.00,,,,,,,
6/1/2019 5.40.00,,,,,,,
6/1/2019 5.50.00,,,,,,,
6/1/2019 6.00.00,,,,,,,
6/1/2019 6.10.00,,,,,,,
6/1/2019 6.20.00,,,,,,,
6/1/2019 6.30.00,2.4,11.4,33.1,64.7,1008.2,0.0,562.1
6/1/2019 6.40.00,1.7,60.7,32.9,65.1,1008.1,0.0,426.2
6/1/2019 6.50.00,2.2,34.5,32.6,65.7,1008.0,0.0,308.7
6/1/2019 7.00.00,1.3,349.5,32.7,65.6,1008.1,0.0,487.8
6/1/2019 7.10.00,1.9,356.2,33.0,65.2,1008.0,0.0,519.9
6/1/2019 7.20.00,1.6,15.6,32.6,66.2,1007.9,0.0,291.7
6/1/2019 7.30.00,2.5,7.6,32.3,67.5,1007.7,0.0,431.5
6/1/2019 7.40.00,2.4,334.2,32.4,66.6,1007.4,0.0,384.1
6/1/2019 7.50.00,1.3,16.1,32.3,66.5,1007.4,0.0,379.0
6/1/2019 8.00.00,2.0,0.8,32.4,65.7,1007.5,0.0,376.9
6/1/2019 8.10.00,2.4,21.8,32.7,64.6,1007.3,0.0,222.4
6/1/2019 8.20.00,,,,,,,
6/1/2019 8.30.00,1.9,18.8,31.7,68.6,1007.4,0.0,133.5
6/1/2019 8.40.00,1.9,350.8,31.2,70.2,1007.4,0.0,132.0
6/1/2019 8.50.00,1.3,28.5,31.2,70.0,1007.5,0.0,117.4
6/1/2019 9.00.00,1.9,20.2,31.3,69.6,1007.4,0.0,96.3
6/1/2019 9.10.00,2.3,349.0,30.9,69.1,1007.4,0.0,85.2
6/1/2019 9.20.00,1.8,350.6,30.6,71.3,1007.3,0.0,73.2
6/1/2019 9.30.00,1.3,43.4,30.4,71.2,1007.3,0.0,75.3
6/1/2019 9.40.00,1.3,3.6,30.4,72.3,1007.5,0.0,68.5
6/1/2019 9.50.00,1.2,14.2,30.4,71.5,1007.4,0.0,67.5
6/1/2019 10.00.00,1.3,22.6,30.4,69.5,1007.6,0.0,65.3
6/1/2019 10.10.00,1.3,5.4,30.3,69.9,1007.7,0.0,49.2
6/1/2019 10.20.00,0.9,28.0,30.2,71.4,1007.9,0.0,27.2
6/1/2019 10.30.00,0.5,33.5,30.2,71.1,1007.8,0.0,7.7
6/1/2019 10.40.00,0.2,19.2,30.1,69.8,1007.9,0.0,2.4
6/1/2019 10.50.00,0.8,32.7,29.8,72.1,1008.1,0.0,1.6
6/1/2019 11.00.00,1.0,40.8,29.8,72.0,1008.2,0.0,0.2
6/1/2019 11.10.00,1.4,24.0,29.6,74.5,1008.3,0.0,0.2
6/1/2019 11.20.00,1.1,36.5,29.6,76.5,1008.5,0.0,0.0
6/1/2019 11.30.00,1.6,89.2,29.6,77.8,1008.6,0.0,0.2
6/1/2019 11.40.00,0.9,30.2,29.5,78.6,1008.8,0.0,0.1
6/1/2019 11.50.00,0.3,25.7,29.3,78.6,1008.9,0.0,0.1
6/1/2019 12.00.00,0.3,25.8,29.5,78.2,1009.1,0.0,0.1
6/1/2019 12.10.00,0.5,47.9,29.2,78.6,1009.3,0.0,0.2
6/1/2019 12.20.00,1.1,88.4,29.3,78.5,1009.3,0.0,0.1
6/1/2019 12.30.00,0.5,53.2,29.3,78.9,1009.4,0.0,0.2
6/1/2019 12.40.00,0.9,86.4,29.2,79.2,1009.6,0.0,0.1
6/1/2019 12.50.00,1.0,88.2,29.1,79.7,1009.7,0.0,0.1
6/1/2019 13.00.00,1.1,92.8,28.9,79.9,1010.0,0.0,0.2
6/1/2019 13.10.00,1.5,90.0,29.0,80.1,1010.1,0.0,0.1
6/1/2019 13.20.00,0.5,46.0,28.9,80.6,1010.2,0.0,0.0
6/1/2019 13.30.00,1.0,89.4,28.7,80.6,1010.3,0.0,0.1
6/1/2019 13.40.00,1.1,65.5,28.9,80.7,1010.6,0.0,0.2
6/1/2019 13.50.00,1.1,41.7,29.0,80.6,1010.8,0.0,0.1
6/1/2019 14.00.00,1.0,55.4,28.9,80.3,1011.0,0.0,0.2
6/1/2019 14.10.00,1.3,83.1,28.9,80.6,1011.2,0.0,0.2
6/1/2019 14.20.00,1.1,66.6,28.9,80.6,1011.1,0.0,0.2
6/1/2019 14.30.00,0.9,61.7,28.9,81.0,1011.2,0.0,0.1
6/1/2019 14.40.00,1.2,79.2,28.7,81.1,1011.2,0.0,0.1
6/1/2019 14.50.00,,,,,,,
6/1/2019 15.00.00,0.8,78.2,28.7,81.2,1011.5,0.0,0.1
6/1/2019 15.10.00,,,,,,,
6/1/2019 15.20.00,0.0,0.0,28.4,81.4,1011.6,0.0,0.4
6/1/2019 15.30.00,0.2,18.0,28.4,81.7,1011.7,0.0,0.2
6/1/2019 15.40.00,0.1,36.7,28.5,81.4,1011.6,0.0,0.1
