unit,cycle,temp,rh,pressure,ws,wd,ch,solrad
1,1,21.58,93.89,898.95,0.42,151.66,70.45,134.91
1,2,21.79,93.34,898.52,0.59,177.16,10.71,155.78
1,3,22.26,91.33,898.71,0.57,192.79,14.61,149.51
1,4,24.27,86.02,898.48,1.33,245.02,18.05,459
1,5,21.99,94.99,898.87,0.67,200.79,10.84,159.46
1,6,24.02,88.39,898.33,0.77,224.51,16.29,273.02
1,7,23.04,88.94,897.33,0.7,211.66,83.71,200.25
1,8,23.05,94.4,897.13,0.5,189.01,292.54,144.2
1,9,23.22,89.58,897.72,0.52,190.13,269.46,195.09
1,10,22.75,88.53,875.1,0.51,191.13,65.97,175.09
1,11,22.82,90.44,897.19,0.5,170.56,121.96,188.32
1,12,21.93,87.83,866.51,0.55,179.05,14.91,123.57
1,13,22.81,89.29,898.46,0.72,193.74,160.85,213.64
1,14,22.53,92.64,904.49,0.54,198.1,73.52,144.98
1,15,21.71,95.67,904.34,0.5,179.9,75.56,99.9
1,16,21.37,93.51,904.68,0.5,184.2,78,154.54
1,17,22.88,95.2,898.1,0.48,197.33,400.1,144.58
1,18,22.92,94.9,897.34,0.61,169.48,249.95,124.46
1,19,21.84,93.18,896.73,0.66,141.1,335.26,131.45
1,20,21.78,95.41,886.92,0.39,196.94,188.75,88.07
1,21,23.67,77.41,895.33,1.05,132.34,316.42,182.66
1,22,23.01,87.71,889.28,0.58,178.44,57.12,162.06
1,23,23.07,90.7,896.46,0.57,181.21,110.73,177.74
1,24,21,96.51,897.07,0.38,176.85,608.04,50.73
1,25,22.69,92.47,896.62,0.5,197.07,783.19,147.58
1,26,22.09,94.17,893.4,0.39,191.55,247.44,118.13
1,27,21.23,96.46,896.98,0.42,172.1,58.3,54.76
1,28,22.32,96.67,903.79,0.44,185.62,79.18,86.96
1,29,22.73,95.98,897.49,0.55,199.4,184.05,94.7
1,30,22.05,96.52,897.38,0.43,173.72,298.06,66.08
