,unit,cycles,waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
0,15,1,01/01/2018 14.00,0,0,28.9,66.5,1006.7,0,0.5
1,15,2,01/01/2018 14.10,0.1,350.2,28.9,66.4,1006.6,0,1.4
2,15,3,01/01/2018 14.20,0.3,341.4,28.8,66.9,1006.7,0,1.4
3,15,4,01/01/2018 14.30,0.75,330.15,28.75,66.3,1006.9,0,1.65
4,15,5,01/01/2018 14.40,1.2,318.9,28.7,65.7,1007.1,0,1.9
5,15,6,01/01/2018 14.50,1.4,291.2,28.6,66.35,1006.95,0,1.45
6,16,1,01/01/2018 15.00,1.6,263.5,28.5,67,1006.8,0,1
7,16,2,01/01/2018 15.10,1.5,296.7,28.4,67.4,1007,0,1.1
8,16,3,01/01/2018 15.20,1.1,306.45,28.35,67.8,1007.1,0,1.1
9,16,4,01/01/2018 15.30,0.7,316.2,28.3,68.2,1007.2,0,1.1
10,16,5,01/01/2018 15.40,1.8,278.1,28.3,68.2,1007.1,0,1.5
11,16,6,01/01/2018 15.50,1.75,276.9,28.25,68.8,1007.2,0,1.6
