datetime;temp;rh;pressure;ws;wd;ch;solrad;status
01/01/2018;27.71;79.72;1001.57;0.73;191.48;0;234.42;suspect
02/01/2018;26.37;86.2;1001.24;0.97;141.79;12.57;193.79;good
03/01/2018;27.3;83.98;1002.57;0.85;220.5;0;212.21;suspect
04/01/2018;25.86;91.85;1001.78;0.57;153.2;15.5;104.83;suspect
05/01/2018;25.81;91.28;1002.29;0.74;173.85;11.66;152.48;suspect
06/01/2018;26.37;86.62;1003.26;0.61;86.34;0;170.56;suspect
07/01/2018;26.71;87.93;1003.75;0.29;91.81;0.23;122.41;suspect
08/01/2018;28.42;82.33;1004.48;0.78;191.97;0;204.81;suspect
09/01/2018;27.53;82.4;1005.33;1.09;184.16;0;233.51;suspect
10/01/2018;26.49;83.98;1004.79;1.24;183.17;15.95;232.54;suspect
11/01/2018;27.12;77.01;1003.9;0.96;252.79;0;184.2;suspect
12/01/2018;27.77;78.72;1003.42;1.64;271.05;0;244.23;good
13/01/2018;26.56;81.78;1003.27;1.59;287.32;0;126.23;suspect
14/01/2018;26.2;84.16;1003.65;1.45;245.41;0;146.88;suspect
15/01/2018;26.43;83.73;1002.41;1.27;252.79;0;145.52;suspect
16/01/2018;26.83;75.9;1002.36;1.77;234.95;0;226.18;good
17/01/2018;27.04;80.86;1002.17;1.04;234.01;0;181.72;suspect
18/01/2018;26.02;87.19;995.82;1.09;212.61;0.22;160.85;suspect
19/01/2018;27.09;82.3;1002.25;0.8;197.18;0;159.56;suspect
20/01/2018;27.17;82;1001.41;0.82;178.99;0;147.28;suspect
21/01/2018;26.75;85.32;999.77;1.03;195.74;6.1;179.06;suspect
22/01/2018;26.39;84.2;1000.61;1.43;236.33;0;149.44;suspect
23/01/2018;26.65;82.61;993.81;1.1;221.58;0;194.36;suspect
24/01/2018;27.95;82.27;1000.57;1.31;195.34;0;210.14;suspect
25/01/2018;27.76;76.5;1000.15;1.4;217.1;0;215.13;good
26/01/2018;27.36;79.05;1000.41;1.49;236.73;0;222.96;good
27/01/2018;27.08;76.29;993.92;1.62;266.34;0;190.71;suspect
28/01/2018;26.37;79.56;1001.51;2.1;253.03;0;97.73;suspect
29/01/2018;27.55;78.64;1002.57;1.16;209.05;0;169.16;suspect
30/01/2018;27.3;82.59;1002.82;1.59;239.23;0.16;216.62;good
31/01/2018;27.23;83.75;995.75;1.25;231.21;1.23;160.73;suspect
01/02/2018;26.94;83.59;1003.9;1.52;244.63;0;215.24;suspect
02/02/2018;27.41;83.58;1003.61;1.26;212.93;0.49;230.55;suspect
03/02/2018;25.42;93.72;1004.95;0.58;198.91;11.19;80.86;suspect
04/02/2018;25.69;92.18;1005.65;1.04;229.38;2.91;124.04;suspect
05/02/2018;24.18;95.92;1006.97;0.64;145.89;10.76;51.41;suspect
06/02/2018;25.35;88.37;1005.24;1.11;223.33;1.21;130.51;suspect
07/02/2018;24.47;87.07;969.97;0.81;146.91;0.31;115.45;suspect
08/02/2018;25.97;88.84;1004.9;1.14;167.09;0;168.18;suspect
09/02/2018;26.26;90.23;1003.61;0.77;145.4;14.52;196.1;suspect
10/02/2018;26.13;88.86;1004.56;1.1;152.99;6.57;217.44;suspect
11/02/2018;27.12;86.58;1005.71;1.33;245.37;0.09;172.37;suspect
12/02/2018;25.67;91.59;1006.98;0.95;207.16;5.32;101.39;suspect
13/02/2018;26.83;86.17;1007.39;1.3;180.64;0;173.23;good
14/02/2018;25.92;89.69;1006.29;1.04;147.63;5.27;139.22;suspect
15/02/2018;25.29;91.45;1006.68;1.11;199.09;0.34;126.77;good
16/02/2018;26.74;84.04;1004.58;1.38;187.84;0;256.74;suspect
17/02/2018;27.44;81.7;997.23;0.95;200.42;0;229.67;suspect
18/02/2018;26.81;83.56;1004.39;1.04;245.37;12.31;201.36;suspect
19/02/2018;25.47;92.73;1004.1;0.65;139;21.35;183.66;suspect
20/02/2018;25.57;90.92;1004.46;0.75;140.9;47.16;191.75;suspect
21/02/2018;25.83;88.16;1002.07;0.75;134.33;14.67;210.14;suspect
22/02/2018;26.55;86.51;1002.71;1.12;186.65;22.78;236.92;suspect
23/02/2018;26.26;88.47;1004;0.71;138.18;0.8;198.48;suspect
24/02/2018;26;88.05;998.35;0.76;151.72;2.9;188.3;suspect
25/02/2018;27.76;78.55;1002.65;3.18;231.68;6.09;285.32;suspect
26/02/2018;26.3;85.76;1002.67;1.32;191.33;1.97;123.71;suspect
27/02/2018;26.12;87.68;996.58;0.59;141.61;0.31;176.73;suspect
28/02/2018;26.38;88.35;1002.99;0.95;237.16;4.19;148.03;suspect
01/03/2018;26.09;87.54;1003.54;0.84;195;7.83;195.63;suspect
02/03/2018;27.57;81.27;1002.87;0.79;166.48;0;256.93;suspect
03/03/2018;26.75;88.96;1002.92;0.48;128.63;0.49;124.37;suspect
04/03/2018;28.22;80.58;1003.56;0.92;227.74;0;247.3;suspect
05/03/2018;27.2;84.28;1004.35;0.63;158.47;0.4;178.85;suspect
06/03/2018;26.05;90.55;1002.76;0.64;127.73;21.47;128.39;suspect
07/03/2018;26.49;86.36;1003.76;0.61;131.74;0.79;190.54;suspect
08/03/2018;26.2;86.66;1003.08;0.84;186.25;9.76;190.8;suspect
09/03/2018;26.93;86.68;1002.4;0.66;185.96;12.34;197.62;suspect
10/03/2018;27.06;86.43;1003.33;1.35;208.58;10.01;240.6;suspect
11/03/2018;26.08;90.94;1003.59;0.88;189.46;20.45;155.36;suspect
12/03/2018;25.41;90.59;996.63;0.82;188.36;8.81;144.5;suspect
13/03/2018;26;87.23;1005.45;0.43;143.97;0;138.44;suspect
14/03/2018;26.49;84.72;1004.18;0.79;188.75;23.17;234.74;suspect
15/03/2018;26.88;84.43;993.81;0.79;150.65;4.5;237.28;suspect
16/03/2018;27.07;87.15;1004.08;0.7;169.24;10.17;211.36;suspect
17/03/2018;24.43;94.66;1004.49;0.56;110.38;12.03;94.75;suspect
18/03/2018;26.92;80.12;998.39;0.73;186.43;0;232.17;suspect
19/03/2018;26.94;84.84;1004.23;1;205.63;0;215.26;suspect
20/03/2018;28.23;78.9;1002.46;1.13;190.7;20.35;307.77;suspect
21/03/2018;28.71;77.44;1001.45;1.38;293.62;1.78;320.88;suspect
22/03/2018;26.22;82.24;995.2;1.4;212.65;0.49;223.86;suspect
23/03/2018;27.01;84.06;1002.61;0.66;174.02;24.83;231.24;suspect
24/03/2018;24.39;90.95;972.51;0.58;124.11;19.79;112.45;suspect
25/03/2018;25.55;86.05;1005.3;0.84;176.44;18.23;137.35;suspect
